3	6	53	6	208000	4000	"face3"	"3"	"female"	"D"	"F129.jpg"	"F129.jpg.ias"
3	6	54	6	212000	4000	"face2"	"2"	"male"	"E"	"M130.jpg"	"M130.jpg.ias"
3	6	55	6	216000	4000	"face3"	"3"	"male"	"D"	"M129.jpg"	"M129.jpg.ias"
3	6	56	6	220000	4000	"face4"	"4"	"female"	"C"	"F128.jpg"	"F128.jpg.ias"
3	6	57	6	224000	4000	"face2"	"2"	"female"	"E"	"F130.jpg"	"F130.jpg.ias"
3	6	58	6	228000	4000	"n/a"	"n/a"	"n/a"	"Q"	"null.jpg"	"null.jpg.ias"
3	6	59	6	232000	4000	"face1"	"1"	"male"	"F"	"M121.jpg"	"M121.jpg.ias"
3	6	60	6	236000	4000	"n/a"	"n/a"	"n/a"	"Q"	"null.jpg"	"null.jpg.ias"
3	6	61	7	240000	4000	"n/a"	"n/a"	"n/a"	"Q"	"null.jpg"	"null.jpg.ias"
3	6	62	7	244000	4000	"face4"	"4"	"female"	"D"	"F129.jpg"	"F129.jpg.ias"
3	6	63	7	248000	4000	"n/a"	"n/a"	"n/a"	"Q"	"null.jpg"	"null.jpg.ias"
3	6	64	7	252000	4000	"face1"	"1"	"male"	"G"	"M122.jpg"	"M122.jpg.ias"
3	6	65	7	256000	4000	"face1"	"1"	"female"	"G"	"F122.jpg"	"F122.jpg.ias"
3	6	66	7	260000	4000	"face2"	"2"	"female"	"F"	"F121.jpg"	"F121.jpg.ias"
3	6	67	7	264000	4000	"face3"	"3"	"female"	"E"	"F130.jpg"	"F130.jpg.ias"
3	6	68	7	268000	4000	"face3"	"3"	"male"	"E"	"M130.jpg"	"M130.jpg.ias"
3	6	69	7	272000	4000	"face2"	"2"	"male"	"F"	"M121.jpg"	"M121.jpg.ias"
3	6	70	7	276000	4000	"face4"	"4"	"male"	"D"	"M129.jpg"	"M129.jpg.ias"
